Time	 ID	 XPosition	 YPosition 	 ZPosition 	 Diameter 
1.05430e+01	 1.00000e+00	 1.33738e+00	 2.71708e+00	-6.42800e-01	 5.85923e-06 
1.05430e+01	 2.00000e+00	 1.35858e+00	 2.45477e+00	-6.79910e-01	 1.14564e-05 
1.05430e+01	 4.00000e+00	 1.36031e+00	 2.51723e+00	-5.08175e-01	 2.26507e-05 
1.05430e+01	 1.50000e+01	 1.54665e+00	 2.62389e+00	-5.71758e-01	 2.62074e-07 
1.05430e+01	 1.60000e+01	-7.01466e-03	 2.86613e+00	 5.86686e-01	 5.85923e-06 
1.05430e+01	 1.70000e+01	 7.07898e-02	 2.65917e+00	 5.63068e-01	 1.14564e-05 
1.05430e+01	 1.80000e+01	 1.27629e-01	 2.59844e+00	 3.75810e-01	 1.70535e-05 
1.05430e+01	 1.90000e+01	 1.05327e+00	 2.80840e+00	-2.59249e-01	 2.26507e-05 
1.05430e+01	 2.00000e+01	 9.81905e-01	 2.94837e+00	 6.18501e-01	 2.82478e-05 
1.05430e+01	 3.10000e+01	 1.36345e+00	 2.51558e+00	-5.56183e-01	 5.85923e-06 
1.05430e+01	 3.30000e+01	 1.62930e+00	 2.62819e+00	-3.99685e-01	 1.70535e-05 
1.05430e+01	 3.40000e+01	 8.24149e-01	 2.55918e+00	 2.03841e-01	 2.26507e-05 
1.05430e+01	 4.60000e+01	 1.32370e+00	 2.65863e+00	-3.26757e-01	 5.85923e-06 
1.05430e+01	 4.80000e+01	 1.15331e+00	 2.40598e+00	-4.25607e-01	 1.70535e-05 
1.05430e+01	 4.90000e+01	-3.28446e-01	 2.91404e+00	 4.04778e-01	 2.26507e-05 
1.05430e+01	 5.00000e+01	 1.07817e+00	 2.65662e+00	-1.66658e-02	 2.82478e-05 
1.05430e+01	 6.10000e+01	 2.30318e-02	 2.58536e+00	 6.19035e-01	 5.85923e-06 
1.05430e+01	 6.20000e+01	 4.69417e-02	 2.60631e+00	 5.93970e-01	 1.14564e-05 
1.05430e+01	 6.30000e+01	 4.85286e-01	 2.57483e+00	-1.50492e-01	 1.70535e-05 
1.05430e+01	 7.50000e+01	 1.71634e+00	 2.81281e+00	-1.11587e+00	 2.62074e-07 
1.05430e+01	 7.60000e+01	 1.77128e+00	 2.42536e+00	-1.02422e+00	 5.85923e-06 
1.05430e+01	 7.70000e+01	-7.17022e-02	 2.97520e+00	 9.38150e-01	 1.14564e-05 
1.05430e+01	 7.80000e+01	 1.05171e+00	 2.89929e+00	 8.15855e-01	 1.70535e-05 
