Time	 ID	 XPosition	 YPosition 	 ZPosition 	 Diameter 
9.83000e-01	 0.00000e+00	 6.37105e-01	 2.23885e+00	 1.33948e-02	 2.62074e-07 
9.83000e-01	 1.00000e+00	 6.19356e-01	 2.21190e+00	-9.39546e-02	 5.85923e-06 
9.83000e-01	 2.00000e+00	 7.71727e-01	 1.85998e+00	-6.62253e-02	 2.71580e-05 
9.83000e-01	 3.00000e+00	 6.88136e-01	 1.84372e+00	 5.05394e-02	 5.20447e-05 
9.83000e-01	 4.00000e+00	 7.69901e-01	 1.71317e+00	-3.71412e-03	 7.60014e-05 
9.83000e-01	 5.00000e+00	 8.12992e-01	 1.56456e+00	 3.08509e-02	 9.93158e-05 
9.83000e-01	 6.00000e+00	 7.92725e-01	 1.54577e+00	 2.07165e-02	 1.21460e-04 
9.83000e-01	 7.00000e+00	 6.85467e-01	 1.47984e+00	 5.77998e-02	 1.43790e-04 
9.83000e-01	 8.00000e+00	 6.36821e-01	 1.46712e+00	 9.49590e-02	 1.65380e-04 
9.83000e-01	 9.00000e+00	 6.21392e-01	 1.44936e+00	-1.40077e-02	 1.86512e-04 
9.83000e-01	 1.00000e+01	 5.24969e-01	 1.29441e+00	-3.20838e-02	 2.08169e-04 
9.83000e-01	 1.10000e+01	 5.77652e-01	 1.34583e+00	 1.29410e-01	 2.29753e-04 
9.83000e-01	 1.20000e+01	 4.57485e-01	 1.25851e+00	-3.50164e-02	 2.50952e-04 
9.83000e-01	 1.40000e+01	 3.87577e-01	 1.28656e+00	-8.26532e-03	 2.93466e-04 
9.83000e-01	 1.50000e+01	 6.90628e-01	 2.18060e+00	 5.76499e-02	 2.62074e-07 
9.83000e-01	 1.60000e+01	 5.37263e-01	 2.05284e+00	 7.26801e-02	 5.85923e-06 
9.83000e-01	 1.70000e+01	 5.17872e-01	 2.02987e+00	-8.19296e-03	 2.40498e-05 
9.83000e-01	 1.80000e+01	 4.82875e-01	 2.07861e+00	-7.92835e-02	 5.27008e-05 
9.83000e-01	 1.90000e+01	 6.76748e-01	 1.74492e+00	-8.14325e-02	 7.66630e-05 
9.83000e-01	 2.00000e+01	 5.31148e-01	 2.05773e+00	 4.11253e-02	 9.91894e-05 
9.83000e-01	 2.10000e+01	 6.85940e-01	 1.60603e+00	-2.36797e-02	 1.21470e-04 
9.83000e-01	 2.20000e+01	 6.59329e-01	 1.64877e+00	-8.36499e-02	 1.43499e-04 
9.83000e-01	 2.40000e+01	 5.89116e-01	 1.36712e+00	-2.59114e-02	 1.86679e-04 
9.83000e-01	 2.50000e+01	 5.29736e-01	 1.30057e+00	-2.33918e-02	 2.08147e-04 
9.83000e-01	 2.60000e+01	 5.49357e-01	 1.22667e+00	-1.30572e-01	 2.29866e-04 
